作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
"018353","貧乏物語","びんぼうものがたり","ひんほうものかたり","","","","","NDC 331","新字新仮名","なし",2008-05-01,2014-09-21,"https://www.aozora.gr.jp/cards/000250/card18353.html","000250","河上","肇","かわかみ","はじめ","かわかみ","はしめ","Kawakami","Hajime","著者","1879-10-20","1946-01-30","なし","貧乏物語","岩波文庫、岩波書店","1947（昭和22）年9月5日、1965（昭和40）年10月16日第30刷改版","1978（昭和53）年11月10日第47版","1992（平成4）年1月10日第63刷","","","","","","","","","","","","sogo","鈴木厚司","https://www.aozora.gr.jp/cards/000250/files/18353_ruby_28946.zip","2008-04-07","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000250/files/18353_30892.html","2008-04-07","ShiftJIS","JIS X 0208","0"
"002590","愛と認識との出発","あいとにんしきとのしゅっぱつ","あいとにんしきとのしゆつはつ","","","","","NDC 914","新字新仮名","なし",2002-03-18,2014-09-17,"https://www.aozora.gr.jp/cards/000256/card2590.html","000256","倉田","百三","くらた","ひゃくぞう","くらた","ひやくそう","Kurata","Hyakuzo","著者","1891-02-23","1943-02-12","なし","愛と認識との出発","角川文庫、角川書店","1950（昭和25）年6月30日、1967（昭和42）年9月30日64版","1982（昭和57）年12月20日改版31版","","","","","","","","","","","","","藤原隆行","小林繁雄","https://www.aozora.gr.jp/cards/000256/files/2590_ruby_20694.zip","2005-12-06","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/000256/files/2590_20695.html","2005-12-06","ShiftJIS","JIS X 0208","0"
"001413","善くならうとする祈り","よくなろうとするいのり","よくなろうとするいのり","","","","","NDC 914","新字旧仮名","なし",2000-11-22,2014-09-17,"https://www.aozora.gr.jp/cards/000256/card1413.html","000256","倉田","百三","くらた","ひゃくぞう","くらた","ひやくそう","Kurata","Hyakuzo","著者","1891-02-23","1943-02-12","なし","日本の名随筆86　祈","作品社","1989（平成元）年12月25日","","","新装・倉田百三選集　第一巻","春秋社","1976（昭和51）年10月","","","","","","","","","加藤恭子","菅野朋子","https://www.aozora.gr.jp/cards/000256/files/1413_ruby.zip","2000-11-22","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000256/files/1413.html","2000-11-22","ShiftJIS","JIS X 0208","0"
"058129","赤い婚礼","あかいこんれい","あかいこんれい","","","Red Bridal","","NDC 933","新字新仮名","あり",2017-01-18,2022-04-25,"https://www.aozora.gr.jp/cards/000258/card58129.html","000258","小泉","八雲","こいずみ","やくも","こいすみ","やくも","Koizumi","Yakumo","著者","1850-06-27","1904-09-26","なし","","","","","","","","","","","","","","","","","林田清明","","https://www.aozora.gr.jp/cards/000258/files/58129_ruby_60565.zip","2022-04-25","ShiftJIS","JIS X 0208","3","https://www.aozora.gr.jp/cards/000258/files/58129_60566.html","2022-04-20","ShiftJIS","JIS X 0208","2"
"003508","雁坂越","かりさかごえ","かりさかこえ","","","","","NDC 913","新字新仮名","なし",2001-10-02,2014-09-17,"https://www.aozora.gr.jp/cards/000051/card3508.html","000051","幸田","露伴","こうだ","ろはん","こうた","ろはん","Koda","Rohan","著者","1867-08-20","1947-07-30","なし","ちくま日本文学全集　幸田露伴","筑摩書房","1992（平成4）年3月20日","","","露伴全集","岩波書店","","","","","","","","","","kompass","林幸雄","https://www.aozora.gr.jp/cards/000051/files/3508_ruby_4030.zip","2003-12-21","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/000051/files/3508_14080.html","2003-12-21","ShiftJIS","JIS X 0208","0"
"004620","東西伊呂波短歌評釈","とうざいいろはたんかひょうしゃく","とうさいいろはたんかひようしやく","","","","","NDC 798 914","新字旧仮名","なし",2002-12-21,2014-09-17,"https://www.aozora.gr.jp/cards/000051/card4620.html","000051","幸田","露伴","こうだ","ろはん","こうた","ろはん","Koda","Rohan","著者","1867-08-20","1947-07-30","なし","日本の名随筆70　語","作品社","1988（昭和63）年8月25日","1992（平成4）年4月10日 第7刷","","露伴随筆　第二冊","岩波書店","1983（昭和58）年4月","","","","","","","","","渡邉つよし","門田裕志","https://www.aozora.gr.jp/cards/000051/files/4620_ruby_7776.zip","2002-12-04","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/000051/files/4620_7952.html","2002-12-04","ShiftJIS","JIS X 0208","0"
"051409","手紙","てがみ","てかみ","017 慶応元年九月九日　坂本乙女、おやべあて","017 けいおうがんねんくがつここのか　さかもとおとめ、おやべあて","","","NDC 289","新字旧仮名","なし",2010-08-12,2014-09-21,"https://www.aozora.gr.jp/cards/000908/card51409.html","000908","坂本","竜馬","さかもと","りょうま","さかもと","りようま","Sakamoto","Ryoma","著者","1836-01-03","1867-12-10","なし","龍馬の手紙、宮地佐一郎","講談社学術文庫、講談社","2003（平成15）年12月10日","2008（平成20）年9月19日第7刷","2008（平成20）年9月19日第7刷","","","","","","","","","","","","Yanajin33","Hanren","https://www.aozora.gr.jp/cards/000908/files/51409_ruby_39921.zip","2011-06-18","ShiftJIS","JIS X 0208","2","https://www.aozora.gr.jp/cards/000908/files/51409_39901.html","2011-06-18","ShiftJIS","JIS X 0208","3"
"057368","ぐうたら道中記","ぐうたらどうちゅうき","くうたらとうちゆうき","","","","「主婦之友」主婦之友社、1922（大正11）年1月～12月","NDC 913","新字新仮名","なし",2021-09-22,2021-08-28,"https://www.aozora.gr.jp/cards/001750/card57368.html","001750","佐々木","邦","ささき","くに","ささき","くに","Sasaki","Kuni","著者","1883-05-04","1964-09-22","なし","佐々木邦全集5　ガラマサどん　使う人使われる人　ぐうたら道中記　豊分居雑筆　世間と人間","講談社","1975（昭和50）年2月20日","1980（昭和55）年3月3日第2刷","1975（昭和50）年2月20日第1刷","","","","","","","","","","","","橋本泰平","芝裕久","https://www.aozora.gr.jp/cards/001750/files/57368_ruby_74029.zip","2021-08-28","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001750/files/57368_74067.html","2021-08-28","ShiftJIS","JIS X 0208","0"
"002309","指","ゆび","ゆひ","","","","「文学時代」1929（昭和4）年6月号","NDC 913","新字新仮名","なし",1999-09-24,2014-09-17,"https://www.aozora.gr.jp/cards/000134/card2309.html","000134","佐左木","俊郎","ささき","としろう","ささき","としろう","Sasaki","Toshiro","著者","1900-04-14","1933-03-13","なし","佐左木俊郎選集","英宝社","1984（昭和59）年4月14日","1984（昭和59）年4月14日初版","1984（昭和59）年4月14日初版","","","","","","","","","","","","大野晋","鈴木伸吾","https://www.aozora.gr.jp/cards/000134/files/2309_ruby_2512.zip","2003-10-27","ShiftJIS","JIS X 0208","2","https://www.aozora.gr.jp/cards/000134/files/2309_13553.html","2003-10-27","ShiftJIS","JIS X 0208","0"
"000351","業平文治漂流奇談","なりひらぶんじひょうりゅうきだん","なりひらふんしひようりゆうきたん","","","","","NDC 779 913","新字新仮名","なし",2000-01-18,2014-09-17,"https://www.aozora.gr.jp/cards/000989/card351.html","000989","三遊亭","円朝","さんゆうてい","えんちょう","さんゆうてい","えんちよう","San'yutei","Encho","著者","1839-05-13","1900-08-11","なし","圓朝全集　巻の四","近代文芸・資料複刻叢書、世界文庫","1963（昭和38）年9月10日","","","圓朝全集　巻の四","春陽堂","1927（昭和2）年6月28日","","","","","","","","","小林繁雄","かとうかおり","https://www.aozora.gr.jp/cards/000989/files/351_ruby.zip","2000-01-18","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000989/files/351.html","2000-01-18","ShiftJIS","JIS X 0208","0"
"004854","桃の雫","もものしずく","もものしすく","","","","","NDC 914","旧字旧仮名","なし",2008-06-10,2014-09-21,"https://www.aozora.gr.jp/cards/000158/card4854.html","000158","島崎","藤村","しまざき","とうそん","しまさき","とうそん","Shimazaki","Toson","著者","1872-03-25","1943-08-22","なし","藤村全集第十三卷","筑摩書房","1967（昭和42）年3月10日","1978（昭和53）年8月30日愛蔵版","1967（昭和42）年9月10日","","","","","","","","","","","","Nana ohbe","小林繁雄、門田裕志","https://www.aozora.gr.jp/cards/000158/files/4854_ruby_30098.zip","2012-04-26","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/000158/files/4854_31470.html","2012-04-26","ShiftJIS","JIS X 0208","1"
"043785","現代訳論語","げんだいやくろんご","けんたいやくろんこ","","","","","NDC 123","新字新仮名","なし",2016-05-20,2021-10-11,"https://www.aozora.gr.jp/cards/001097/card43785.html","001097","下村","湖人","しもむら","こじん","しもむら","こしん","Shimomura","Kojin","著者","1884-10-03","1955-04-20","なし","下村湖人全集　第五巻","池田書店","1965（昭和40）年5月15日","1965（昭和40）年5月15日","1965（昭和40）年5月15日","","","","","","","","","","","","tatsuki","酒井和郎","https://www.aozora.gr.jp/cards/001097/files/43785_ruby_58793.zip","2021-10-11","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/001097/files/43785_58836.html","2021-10-11","ShiftJIS","JIS X 0208","1"
"004327","45回転の夏","よんじゅうごかいてんのなつ","よんしゆうこかいてんのなつ","第３章　フルサークル、1991年","だいさんしょう　フルサークル、せんきゅうひゃくきゅうじゅういちねん","","「45回転の夏」新潮社、1994（平成6）年7月20日","NDC 913","新字新仮名","あり",2001-12-12,2019-08-28,"https://www.aozora.gr.jp/cards/000113/card4327.html","000113","鶴岡","雄二","つるおか","ゆうじ","つるおか","ゆうし","Tsuruoka","Yuji","著者","1953","","あり","45回転の夏","新潮社","1994（平成6）年7月20日","","","","","","","","","","","","","","鶴岡雄二","Y.N.","https://www.aozora.gr.jp/cards/000113/files/4327_ruby_67507.zip","2019-08-28","ShiftJIS","JIS X 0208","2","https://www.aozora.gr.jp/cards/000113/files/4327_67525.html","2019-08-28","ShiftJIS","JIS X 0208","1"
"002345","比較言語学における統計的研究法の可能性について","ひかくげんごがくにおけるとうけいてきけんきゅうほうのかのうせいについて","ひかくけんこかくにおけるとうけいてきけんきゆうほうのかのうせいについて","","","","「思想」1928（昭和3）年3月","NDC 801","新字新仮名","なし",2000-10-03,2014-09-17,"https://www.aozora.gr.jp/cards/000042/card2345.html","000042","寺田","寅彦","てらだ","とらひこ","てらた","とらひこ","Terada","Torahiko","著者","1878-11-28","1935-12-31","なし","寺田寅彦随筆集　第二巻","岩波文庫、岩波書店","1947（昭和22）年9月10日、1964（昭和39）年1月16日第22刷改版","1997（平成9）年5月6日第70刷","1997（平成9）年5月6日第70刷","","","","","","","","","","","","（株）モモ","かとうかおり","https://www.aozora.gr.jp/cards/000042/files/2345_ruby_4623.zip","2003-11-07","ShiftJIS","JIS X 0208","3","https://www.aozora.gr.jp/cards/000042/files/2345_13811.html","2003-11-07","ShiftJIS","JIS X 0208","0"
"042232","新詩発生時代の思ひ出","しんしはっせいじだいのおもいで","しんしはつせいしたいのおもいて","","","","「中央公論」中央公論社、1935（昭和10）年7月号","NDC 914 911 902","旧字旧仮名","なし",2006-08-04,2015-10-20,"https://www.aozora.gr.jp/cards/001081/card42232.html","001081","土井","晩翠","どい","ばんすい","とい","はんすい","Doi","Bansui","著者","1871-12-05","1952-10-19","なし","明治文學全集　58　土井晩翠　薄田泣菫　蒲原有明集","筑摩書房","1967（昭和42）年4月15日","1967（昭和42）年4月15日","1967（昭和42）年4月15日","中央公論","中央公論社","1935（昭和10）年7月号","","","","","","","","","門田裕志","小林繁雄","https://www.aozora.gr.jp/cards/001081/files/42232_ruby_23379.zip","2015-10-20","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/001081/files/42232_23645.html","2015-10-20","ShiftJIS","JIS X 0208","1"
"003670","娯楽論","ごらくろん","こらくろん","民衆と娯楽・その積極性と社会性・","みんしゅうとごらく・そのせっきょくせいとしゃかいせい・","","","NDC 790","新字新仮名","なし",2001-08-23,2014-09-17,"https://www.aozora.gr.jp/cards/000281/card3670.html","000281","戸坂","潤","とさか","じゅん","とさか","しゆん","Tosaka","Jun","著者","1900-09-27","1945-08-09","なし","戸坂潤全集　第四巻","勁草書房","1966（昭和41）年7月20日","1975（昭和50）年9月20日第7刷","","","","","","","","","","","","","矢野正人","小林繁雄","https://www.aozora.gr.jp/cards/000281/files/3670_txt.zip","2001-08-23","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000281/files/3670.html","2001-08-23","ShiftJIS","JIS X 0208","0"
"001710","思想と風俗","しそうとふうぞく","しそうとふうそく","","","","","NDC 304","新字新仮名","なし",2001-08-23,2014-09-17,"https://www.aozora.gr.jp/cards/000281/card1710.html","000281","戸坂","潤","とさか","じゅん","とさか","しゆん","Tosaka","Jun","著者","1900-09-27","1945-08-09","なし","戸坂潤全集　第四巻","勁草書房","1966（昭和41）年7月20日","1975（昭和50）年9月20日第7刷","","","","","","","","","","","","","矢野正人","小林繁雄","https://www.aozora.gr.jp/cards/000281/files/1710_txt.zip","2001-08-23","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000281/files/1710.html","2001-08-23","ShiftJIS","JIS X 0208","0"
"042601","レ・ミゼラブル","レ・ミゼラブル","れみせらふる","05 第二部　コゼット","05 だいにぶ　コゼット","","","NDC 953","新字新仮名","なし",2007-02-28,2014-09-21,"https://www.aozora.gr.jp/cards/001094/card42601.html","000906","豊島","与志雄","とよしま","よしお","とよしま","よしお","Toyoshima","Yoshio","翻訳者","1890-11-27","1955-06-18","なし","レ・ミゼラブル（一）","岩波書店","1987（昭和62）年4月16日","1987（昭和62）年4月16日","2003（平成15）年5月9日第36刷","","","","レ・ミゼラブル（二）","岩波書店","1987（昭和62）年4月16日","1987（昭和62）年4月16日","","","","","tatsuki","小林繁雄、門田裕志","https://www.aozora.gr.jp/cards/001094/files/42601_ruby_25139.zip","2013-04-21","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/001094/files/42601_25759.html","2013-04-21","ShiftJIS","JIS X 0208","1"
"002609","支那に於ける史の起源","しなにおけるしのきげん","しなにおけるしのきけん","","","","中等学校地理歴史教員協議会講演、1915（大正4）年12月6日","NDC 222","旧字旧仮名","なし",2001-08-30,2014-09-17,"https://www.aozora.gr.jp/cards/000284/card2609.html","000284","内藤","湖南","ないとう","こなん","ないとう","こなん","Naito","Konan","著者","1866-08-26","1934-06-26","なし","内藤湖南全集　第七巻","筑摩書房","1970（昭和45）年2月25日","1976（昭和51）年10月10日第2刷","","研幾小録","弘文堂","1928（昭和3）年4月","","","","","","","","","はまなかひとし","菅野朋子","https://www.aozora.gr.jp/cards/000284/files/2609_ruby_4359.zip","2003-05-25","ShiftJIS","JIS X 0208","2","https://www.aozora.gr.jp/cards/000284/files/2609_4360.html","2003-05-25","ShiftJIS","JIS X 0208","2"
"003226","大菩薩峠","だいぼさつとうげ","たいほさつとうけ","02 鈴鹿山の巻","02 すずかやまのまき","","「都新聞」1913（大正2）年12月19日～翌年9月3日","NDC 913","新字新仮名","なし",2001-05-09,2014-09-17,"https://www.aozora.gr.jp/cards/000283/card3226.html","000283","中里","介山","なかざと","かいざん","なかさと","かいさん","Nakazato","Kaizan","著者","1885-04-04","1944-04-28","なし","大菩薩峠1","ちくま文庫、筑摩書房","1995（平成7）年12月4日","1996（平成8）年3月10日第5刷","1995（平成7）年12月4日第1刷","大菩薩峠　一","筑摩書房","1976（昭和51）年6月20日初版発行","","","","","","","","","（株）モモ","原田頌子","https://www.aozora.gr.jp/cards/000283/files/3226_ruby_1818.zip","2005-11-09","ShiftJIS","JIS X 0208","4","https://www.aozora.gr.jp/cards/000283/files/3226_15094.html","2005-11-09","ShiftJIS","JIS X 0208","2"
"004343","大菩薩峠","だいぼさつとうげ","たいほさつとうけ","38 農奴の巻","38 のうどのまき","","","NDC 913","新字新仮名","なし",2004-06-04,2014-09-18,"https://www.aozora.gr.jp/cards/000283/card4343.html","000283","中里","介山","なかざと","かいざん","なかさと","かいさん","Nakazato","Kaizan","著者","1885-04-04","1944-04-28","なし","大菩薩峠18","ちくま文庫、筑摩書房","1996（平成8）年8月22日","1996（平成8）年8月22日第1刷","1996（平成8）年8月22日第1刷","大菩薩峠　十一","筑摩書房","1976（昭和51）年6月20日","","","","","","","","","tatsuki","原田頌子","https://www.aozora.gr.jp/cards/000283/files/4343_ruby_14878.zip","2004-02-22","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000283/files/4343_14892.html","2004-02-22","ShiftJIS","JIS X 0208","0"
"057353","ゴリオ爺さん","ゴリオじいさん","こりおしいさん","","","Le Père Goriot","","NDC 953","新字新仮名","あり",2015-10-07,2015-10-12,"https://www.aozora.gr.jp/cards/001850/card57353.html","001851","中島","英之","なかじま","ひでゆき","なかしま","ひでゆき","Nakajima","Hideyuki","翻訳者","1942","","あり","","","","","","","","","","","","","","","","","中島英之","","https://www.aozora.gr.jp/cards/001850/files/57353_ruby_57269.zip","2015-10-12","ShiftJIS","JIS X 0208","2","https://www.aozora.gr.jp/cards/001850/files/57353_57270.html","2015-10-10","ShiftJIS","JIS X 0208","1"
